"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20150124003169I","24-JAN-15","HAWTHORNE","CA","JACK NORTHROP FIELD/HAWTHORNE MUNI","INCIDENT","MINOR","TAXI","PIPER","PA44","180","","","GENERAL OPERATING RULES","","238AT","0","0","LYCOMI","O&VO-360 SER","","","STUDENT","143","43","20",""
"20150124004299I","24-JAN-15","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","P","AEROSIM FLIGHT ACADEMY","","PILOT SCHOOLS","","51996","0","0","LYCOMI","0-320 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","360","304","82",""
"20150125000569I","25-JAN-15","WATERFORD","MI","OAKLAND COUNTY INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","LUSCOMBE","8","E","","","GENERAL OPERATING RULES","","1406K","0","0","CONT M","0-200","","1","","","","",""
"20150125000649I","25-JAN-15","SEATTLE","WA","BOEING FIELD/KING COUNTY INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","FLIGHT DESIGN","CTLS","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","749CT","0","0","ROTAX","912ULS","","1","PRIVATE PILOT","","","",""
"20150126001319I","26-JAN-15","MESA","AZ","FALCON FLD","INCIDENT","NONE","TAKEOFF: CLIMB OUT","CESSNA","550","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","90Z","0","0","P&W CA","JT15D-4","","2","AIRLINE TRANSPORT","6800","32","14",""
"20150127001279I","27-JAN-15","SAN DIEGO","CA","GILLESPIE FIELD","INCIDENT","SUBSTANTIAL","LANDING: ROLLOUT","RYAN","NAVION","B","","","GENERAL OPERATING RULES","","567K","0","0","LYCOMI","GO-435C&D SER","","","","","","",""
"20150128000999I","28-JAN-15","SPARTANBURG","SC","SPARTANBURG DOWNTOWN MEMORIAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","VANS","RV6","A","","","GENERAL OPERATING RULES","","39GR","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","14000","600","100",""
"20150128002279I","28-JAN-15","OSHKOSH","NE","GARDEN COUNTY","INCIDENT","MINOR","GROUND-RAMP","MAULE","M7","260C","","","GENERAL OPERATING RULES","","753DW","0","0","LYCOMI","IO-540-V4A5D","","","COMMERCIAL PILOT","3500","600","48",""
"20150129000869I","29-JAN-15","UMATILLA","FL","UMATILLA MUNI","INCIDENT","MINOR","DESCENT","VANS","RV7","A","","","GENERAL OPERATING RULES","","654PJ","0","0","LYCOMI","O-360-A1A","72216","","PRIVATE PILOT","1540","","",""
"20150129000989I","29-JAN-15","WEST MILFORD","NJ","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","150","M","","","GENERAL OPERATING RULES","","704HQ","0","0","CONT M","0-200 SERIES","N/A","1","PRIVATE PILOT","258","32","12",""
"20150129002239I","29-JAN-15","ZELIENOPLE","PA","ZELIENOPLE MUNI","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","525","B","HOLMAN LEASING SYSTEMS INC","","GENERAL OPERATING RULES","","614B","0","0","WILLIA","FJ 44 SERIES","","2","AIRLINE TRANSPORT","18981","3134","93",""
"20150129002559I","29-JAN-15","CLINTON","OK","INTEGRIS CLINTON RGNL HOSPITAL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BELL","407","NO SERIES EXISTS","AIR EVAC EMS INC","","AIR TAXI/COMMUTER","","495AE","0","0","ALLISO","250-C47","","1","COMMERCIAL PILOT","3638","311","57",""
"20150130000629I","30-JAN-15","SEATTLE","WA","SEATTLE-TACOMA INTL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","208","B","EMPIRE AIRLINES INC","","AIR TAXI/COMMUTER","","720FX","0","0","","","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","16000","12000","40",""
"20150130000759I","30-JAN-15","MINOT","ND","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","1991Y","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","450","20","5",""
"20150130001389I","30-JAN-15","SCRIBNER","NE","SCRIBNER STATE","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA24","250","","","GENERAL OPERATING RULES","","6800P","0","0","LYCOMI","0-540 SERIES","","","COMMERCIAL PILOT","1888","126","2",""
"20150130001909I","30-JAN-15","ATLANTA","GA","FULTON COUNTY AIRPORT-BROWN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BOMBARDIER","BD100 1A10","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","905MT","0","0","HONEYW","AS907-1-1A","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7500","800","75",""
"20150201001039I","01-FEB-15","PENN VALLEY","CA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","ERCOUPE","A2","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","989T","0","0","CONT M","C90 SERIES","","1","","","","",""
"20150201001329I","01-FEB-15","DEER VALLEY","AZ","PHOENIX DEER VALLEY","INCIDENT","NONE","TAXI","GULFSTREAM","GIV","X G450","","","GENERAL OPERATING RULES","","458X","0","0","ROLLS-","TAY 611-8C","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","","",""
"20150201001539I","01-FEB-15","ORLANDO","FL","EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","300","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","97EB","0","0","P&W CA","PT6A-60A","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3517","71","12",""
"20150201001949I","01-FEB-15","PENSACOLA","FL","PENSACOLA GULF COAST RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","95","B95","","","GENERAL OPERATING RULES","","82MJ","0","0","","","","2","PRIVATE PILOT","222","79","36",""
"20150202000939I","02-FEB-15","FREELAND","MI","MBS INTL","INCIDENT","MINOR","LANDING: APPROACH","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6887V","0","0","LYCOMI","I0360 SER A&C","","1","PRIVATE PILOT","195","68","11",""
"20150203000389I","03-FEB-15","KENDALL","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","SUBSTANTIAL","TAXI","PIPER","PA34","200","","","GENERAL OPERATING RULES","","55134","0","0","LYCOMI","I0360 SER","L-9162","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","9800","2000","20",""
"20150203001429I","03-FEB-15","TUPELO","MS","TUPELO RGNL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","182","R","","","GENERAL OPERATING RULES","","7578T","0","0","LYCOMI","0-540 SERIES","","1","","","","",""
"20150203001489I","03-FEB-15","ROGERS","AR","ROGERS MUNI-CARTER FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","4035H","0","0","CONT M","TSIO-360 SER","","1","PRIVATE PILOT","1840","1600","6",""
"20150203001959I","03-FEB-15","OKEECHOBEE","FL","OKEECHOBEE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","76","NO SERIES EXISTS","JET-PROP EXPRESS INC","","PILOT SCHOOLS","","5236M","0","0","LYCOMI","O&VO-360 SER","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1420","412","224",""
"20150204000589I","04-FEB-15","CHATTANOOGA","TN","DALLAS BAY SKY PARK","INCIDENT","MINOR","TAXI","CESSNA","172","N","","","GENERAL OPERATING RULES","","6552F","0","0","LYCOMI","0-320 SERIES","","1","","","","",""
"20150204001479I","04-FEB-15","AMARILLO","TX","RICK HUSBAND AMARILLO INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","36","A36TC","","","GENERAL OPERATING RULES","","3668D","0","0","CONT M","TSIO-520 SER","","1","AIRLINE TRANSPORT","21477","118","6",""
"20150204003239I","04-FEB-15","NASHVVILLE","TN","JOHN C TUNE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","EUROCOPTER","EC135","T2 PLUS","AIR METHODS CORPORATION","","AIR TAXI/COMMUTER","","105VU","0","0","TURBOM","ARRIUS 2B2","","","","","","",""
"20150204003249I","04-FEB-15","RALEIGH","NC","RALEIGH-DURHAM INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA31","325","","","GENERAL OPERATING RULES","","22GE","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4422","685","30",""
"20150205019909I","05-FEB-15","","","FLAGSTAFF PULLIAM","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","35","G35","","","GENERAL OPERATING RULES","","135JL","0","0","CONT M","E225 SERIES","","1","PRIVATE PILOT","850","","",""
"20150206000919I","06-FEB-15","RAPID CITY","SD","RAPID CITY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","250","","","GENERAL OPERATING RULES","","6086P","0","0","LYCOMI","0-540-A1D5","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3450","1","25",""
"20150207001449I","07-FEB-15","DALLAS","TX","DALLAS LOVE FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","T310","P","","","GENERAL OPERATING RULES","","5727M","0","0","CONT M","IO 520 SERIES","","","PRIVATE PILOT","1900","250","15",""
"20150207001599I","07-FEB-15","EAGLE","CO","EAGLE COUNTY RGNL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","GULFSTREAM","GIV","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","701DB","0","0","ROLLS-","TAY 611SER","","","AIRLINE TRANSPORT","5600","2400","53",""
"20150210001069I","10-FEB-15","COLUMBUS","MS","GOLDEN TRIANGLE RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","180","","","GENERAL OPERATING RULES","","8184W","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","152","152","20",""
"20150210001969I","10-FEB-15","CARROLLTON","GA","WEST GEORGIA RGNL - O V GRAY FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","DIAMOND","DA40","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","429TS","0","0","THIELE","TAE-125-01","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","181","",""
"20150210004539I","10-FEB-15","PALM SPRINGS","CA","PALM SPRINGS INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","177","B","","","GENERAL OPERATING RULES","","34867","0","0","LYCOMI","O&VO-360 SER","O-360","1","","","","",""
"20150211000749I","11-FEB-15","CIRCLEVILLE","OH","CLARKS DREAM STRIP","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","ROCKWELL","500","S","","","GENERAL OPERATING RULES","","244AC","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","5200","800","15",""
"20150211001059I","11-FEB-15","HELENA","AR","THOMPSON-ROBBINS","INCIDENT","MINOR","TAXI","CESSNA","172","A","","","GENERAL OPERATING RULES","","9751T","0","0","CONT M","0-300 SER","","1","AIRLINE TRANSPORT","20000","250","20",""
"20150211001629I","11-FEB-15","SAINT CLAIR","MO","ST CLAIR RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","58","TC","","","GENERAL OPERATING RULES","","58TK","0","0","CONT M","TSIO-520 SER","520","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","15000","561","20",""
"20150211001819I","11-FEB-15","PALM SPRINGS","CA","PALM SPRINGS INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","DIAMOND","DA42","NG","","","GENERAL OPERATING RULES","","593ER","0","0","AUSTRO","E4","UNKNOW","","","1300","128","100",""
"20150211002389I","11-FEB-15","ADDISON","TX","ADDISON","INCIDENT","MINOR","LANDING: TOUCHDOWN","ROCKWELL","114","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","4716W","0","0","LYCOMI","TI0-540 SER","T4A5D-","1","PRIVATE PILOT","1380","600","4",""
"20150211003919I","11-FEB-15","MCALESTER","OK","MC ALESTER RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","A35","","","GENERAL OPERATING RULES","","616B","0","0","CONT M","E185 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","22222","800","75",""
"20150211017509I","11-FEB-15","MARTINSBURG","WV","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","TP206","A","","","GENERAL OPERATING RULES","","4645F","0","0","CONT M","GTSIO-520","C","1","","","","",""
"20150212001739I","12-FEB-15","GEORGETOWN","SC","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","172","N","","","GENERAL OPERATING RULES","","73856","0","0","LYCOMI","0-320 SERIES","","1","AIRLINE TRANSPORT","6950","","",""
"20150213001099I","13-FEB-15","RIVERSIDE","CA","RIVERSIDE MUNI","INCIDENT","MINOR","HOVER-HOLDING","ROBINSON","R22","BETA","CALIFORNIA AVIATION SERVICES","","PILOT SCHOOLS","","8311A","0","0","LYCOMI","0-320 SERIES","","","STUDENT","","","",""
"20150213001589I","13-FEB-15","HELENA","MT","HELENA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","J3C","65","","","GENERAL OPERATING RULES","","77528","0","0","CONT M","A&C65 SERIES","","","PRIVATE PILOT","3158","319","18",""
"20150213001639I","13-FEB-15","ROCK HALL","MD","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","AGUSTA","AW139","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","389MD","0","0","P&W CA","PT6C-67C","67C","2","","","","",""
"20150213001669I","13-FEB-15","KLAMATH FALLS","OR","KLAMATH FALLS","INCIDENT","NONE","DESCENT","CESSNA","182","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","3833D","0","0","CONT M","O-470 SERIES","","1","PRIVATE PILOT","1000","10","30",""
"20150213001699I","13-FEB-15","SAINT PETERSBURG","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA23","250","","","GENERAL OPERATING RULES","","828DA","0","0","LYCOMI","IO-540 SER","N/A","","COMMERCIAL PILOT","2000","75","55",""
"20150214001049I","14-FEB-15","WINNIE","TX","CHAMBERS COUNTY-WINNIE STOWELL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32R","301T","","","GENERAL OPERATING RULES","","661P","0","0","LYCOMI","TI0-540 SER","S1AD","","PRIVATE PILOT","432","336","9",""
"20150215002909I","15-FEB-15","SAN CARLOS","CA","SAN CARLOS","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","3WB","0","0","P&W CA","PT6A-135A","","","PRIVATE PILOT","1527","108","38",""
"20150215003529I","15-FEB-15","CHINO","CA","CHINO","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BEECH","35","V35B","","","GENERAL OPERATING RULES","","27DH","0","0","CONT M","IO 520 SERIES","B","1","COMMERCIAL PILOT","4000","3000","15",""
"20150216000849I","16-FEB-15","POMPANO BEACH","FL","POMPANO BEACH AIRPARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","LIBERTY","XL2","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","569XL","0","0","CONT M","IOF-240-B","400084","","PRIVATE PILOT","300","200","15",""
"20150216001219I","16-FEB-15","RICE","WA","","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","182","A","","","GENERAL OPERATING RULES","","3803D","0","0","CONT M","O-470 SERIES","","1","","","","",""
"20150216002589I","16-FEB-15","SYDNEY","OH","SIDNEY MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28RT","201","","","GENERAL OPERATING RULES","","199PG","0","0","LYCOMI","I0360 SER A&C","","","PRIVATE PILOT","","","",""
"20150217001339I","17-FEB-15","COOLIDGE","AZ","COOLIDGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA44","180","UNIVERSITY OF NORTH DAKOTA","","PILOT SCHOOLS","","593ND","0","0","LYCOMI","O-360-A1H6","","","","1470","182","182",""
"20150218001159I","18-FEB-15","JAMAICA","NY","JOHN F KENNEDY INTL","INCIDENT","MINOR","GROUND-RAMP","DOUGLAS","DC9","82","CARIBBEAN SUN AIRLINES INC","","AIR CARRIER/COMMERCIAL","","803WA","0","0","P & W","JT8D-217A","","","","","","",""
"20150218001499I","18-FEB-15","PENSACOLA","FL","PENSACOLA GULF COAST RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","3256R","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2885","1597","9",""
"20150218001869I","18-FEB-15","PRESCOTT","AZ","ERNEST A. LOVE FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","S","NORTH AIRE INC","","PILOT SCHOOLS","","5352U","0","0","LYCOMI","IO-360-L2A","L-2853","1","PRIVATE PILOT FLIGHT INSTRUCTOR","330","30","20",""
"20150218002139I","18-FEB-15","COLUMBUS","OH","OHIO STATE UNIVERSITY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","414","A","","","GENERAL OPERATING RULES","","414CS","0","0","CONTIN","TSIO-520-NB","UNKNOW","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","11700","2850","43",""
"20150219002059I","19-FEB-15","SCOTTSDALE","AZ","SCOTTSDALE","INCIDENT","MINOR","LANDING: ROLLOUT","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","325CP","0","0","CONT M","IO-550-N","","1","PRIVATE PILOT","374","76","28",""
"20150219002229I","19-FEB-15","PITTSBURGH","PA","PITTSBURGH INTL","INCIDENT","NONE","LANDING: APPROACH","PIPER","PA31","350","SUN AIR EXPRESS LLC","","AIR TAXI/COMMUTER","","7090B","0","0","LYCOMI","TSI0-540-J2BD","540","","","","","",""
"20150219002709I","19-FEB-15","SAINT PETERSBURG","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","MINOR","CLIMB","CESSNA","T206","H","","","GENERAL OPERATING RULES","","6195C","0","0","LYCOMI","TIO-540-AJ1A","","1","COMMERCIAL PILOT","466","252","25",""
"20150219004969I","19-FEB-15","GREENSBORO","NC","","INCIDENT","NONE","LANDING: ROLLOUT","BEECH","100","B100","TIME SAVER AVIATION, LLC","","GENERAL OPERATING RULES","","264PA","0","0","AIRESE","TPE331-5&6SER","","2","AIRLINE TRANSPORT","12224","3378","153",""
"20150220001722I","20-FEB-15","MARATHON","FL","THE FLORIDA KEYS MARATHON","INCIDENT","MINOR","GROUND-RAMP","CESSNA","525","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","525HQ","0","0","WILLIA","FJ44-1AP","","2","COMMERCIAL PILOT","1087","211","76",""
"20150220002079I","20-FEB-15","LONG BEACH","CA","LONG BEACH /DAUGHERTY FIELD/","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","36","A36TC","","","GENERAL OPERATING RULES","","66444","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","5000","37","10",""
"20150220002449I","20-FEB-15","CLEARWATER","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","MINOR","UNKNOWN","PIPER","PA44","180","","","GENERAL OPERATING RULES","","337EP","0","0","LYCOMI","O&VO-360 SER","","","COMMERCIAL PILOT","114","","",""
"20150220002699I","20-FEB-15","ZEPHYRHILLS","FL","ZEPHYRHILLS MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA60","601","","","GENERAL OPERATING RULES","","7RZ","0","0","","","","","AIRLINE TRANSPORT","11029","522","20",""
"20150221002039I","21-FEB-15","SAINT GEORGE","UT","ST GEORGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","AVID","AVID FLYER","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","88WJ","0","0","BOMBAR","ROTAX (ALL)","","","PRIVATE PILOT","1350","3","3",""
"20150222002539I","22-FEB-15","KALISPELL","MT","GLACIER PARK INTL","INCIDENT","MINOR","LANDING: ROLLOUT","MAULE","M7","235B","","","GENERAL OPERATING RULES","","723M","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","","60","15",""
"20150222019919I","22-FEB-15","COTTONWOOD","AZ","COTTONWOOD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA30","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","57DJ","0","0","","","","","AIRLINE TRANSPORT","21000","200","200",""
"20150223002469I","23-FEB-15","ASHEVILLE","NC","ASHEVILLE RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","SOCATA","TBM700","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","11YD","0","0","","","","","PRIVATE PILOT","1027","85","40",""
"20150224001879I","24-FEB-15","PRESCOTT","AZ","ERNEST A. LOVE FIELD","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","32XL","0","0","","","","","","","","",""
"20150224003479I","24-FEB-15","LOS ANGELES","CA","LOS ANGELES INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","DE HAVILLAND","DHC8","402","HORIZON AIR INDUSTRIES INC","","AIR CARRIER/COMMERCIAL","","438QX","0","0","P&W CA","PW150A","","","AIRLINE TRANSPORT","11266","","",""
"20150224004629I","24-FEB-15","SAN JOSE","CA","NORMAN Y. MINETA SAN JOSE INTL","INCIDENT","MINOR","LANDING: APPROACH","BEECH","60","A60","","","GENERAL OPERATING RULES","","7420D","0","0","LYCOMI","TI0-541 SER","E","2","COMMERCIAL PILOT","4700","3000","10",""
"20150225004929I","25-FEB-15","HONOLULU","HI","HONOLULU INTL","INCIDENT","NONE","DESCENT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","98146","0","0","LYCOMI","0-320 SERIES","N/A","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1100","500","35",""
"20150226001709I","26-FEB-15","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","200","DEAN INTERNATIONAL CHARTERS LLC","","PILOT SCHOOLS","","87MB","0","0","LYCOMI","I0360 SER","","","AIRLINE TRANSPORT","2590","473","120",""
"20150226003419I","26-FEB-15","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","MINOR","GROUND-RAMP","EMBRAER","EMB145","LR","ENVOY AIR INC","","AIR CARRIER/COMMERCIAL","","905JH","0","0","ROLLS-","AE3007 SER","","","","","","",""
"20150226003779I","26-FEB-15","SICILY ISLAND","LA","","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","157D","0","0","ROTAX","912UL","","","PRIVATE PILOT","284","50","5",""
"20150226008849I","26-FEB-15","FAIRBANKS","AK","FAIRBANKS INTL","INCIDENT","MINOR","TAXI","PIPER","PA22","160","","","GENERAL OPERATING RULES","","72999","0","0","","","","","PRIVATE PILOT","","","16",""
"20150227002089I","27-FEB-15","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","201SX","0","0","","","","1","PRIVATE PILOT","7036","72","50",""
"20150228002049I","28-FEB-15","SEATTLE","WA","SEATTLE SEAPLANES","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","E","","","GENERAL OPERATING RULES","","5721T","0","0","CONT M","0-300 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1150","740","12",""
"20150228002599I","28-FEB-15","MADISON","WI","DANE COUNTY RGNL-TRUAX FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","421","C","","","GENERAL OPERATING RULES","","8430N","0","1","CONT M","GTSI0-520-F-K","","2","PRIVATE PILOT","671","262","1",""
"20150228002689I","28-FEB-15","BOCA RATON","FL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA31","300","","","GENERAL OPERATING RULES","","748NP","0","0","LYCOMI","TIO 540 SER","A","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20150301002199I","01-MAR-15","BOCA RATON","FL","BOCA RATON","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","LEARJET","45","NO SERIES EXISTS","RECTRIX AVIATION INC","","AIR TAXI/COMMUTER","","821LC","0","0","HONEYW","TFE731","20BR-1","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","13000","314","167",""
"20150301004849I","01-MAR-15","POTTSTOWN","PA","HERITAGE FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","441","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","716SM","0","0","AIRESE","TPE331 SERIES","10N","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","15500","4000","95",""
"20150301005019I","01-MAR-15","DEER VALLEY","AZ","PHOENIX DEER VALLEY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","181","TRANSPAC AVIATION ACADEMY","","PILOT SCHOOLS","","442PA","0","0","LYCOMI","O-360 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","470","181","150",""
"20150301010919I","01-MAR-15","CHINO","CA","CHINO","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","30787","0","0","CONT M","IO-550 SERIES","","2","AIRLINE TRANSPORT","1730","225","30",""
"20150302001789I","02-MAR-15","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","DE HAVILLAND","DHC8","402","CHAMPLAIN ENTERPRISES INC","","AIR CARRIER/COMMERCIAL","","360PH","0","0","P&W CA","PW123","D","","","","","",""
"20150302002119I","02-MAR-15","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","PILATUS","PC12","45","","","GENERAL OPERATING RULES","","933SE","0","0","P&W CA","PT6A-67B","","","PRIVATE PILOT","5200","1000","30",""
"20150302005511I","02-MAR-15","","","SKYLARK FIELD","INCIDENT","MINOR","TAXI","CIRRUS","SR20","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","55DS","0","0","CONT M","IO-360 SER","","1","PRIVATE PILOT","3500","1450","52",""
"20150303001559I","03-MAR-15","FORT COLLINS","CO","FORT COLLINS-LOVELAND MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","525","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","7XE","0","0","WILLIA","FJ 44 SERIES","","2","AIRLINE TRANSPORT","12000","3000","60",""
"20150303001759I","03-MAR-15","ALTON BAY","NH","ALTON BAY","INCIDENT","MINOR","TAXI","GRUMMAN","AA5","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","130GW","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","2016","2016","26",""
